"Model","Accuracy","Misclassification_Rate"
"KNN (Best k)",0.8511,0.1489
"LDA (equal priors)",0.8053,0.1947
"QDA (equal priors)",0.573,0.427
"SVM (Best Kernel)",0.8547,0.1453
